moa,name
HCV inhibitor,PSI-7976
retinoid receptor agonist,bexarotene
anxiolytic,afobazole
fungal squalene epoxidase inhibitor,naftifine
HMGCR inhibitor,simvastatin
mTOR inhibitor,sirolimus
thymidylate synthase inhibitor,raltitrexed
histamine receptor agonist,lidocaine
androgen biosynthesis inhibitor,abiraterone
acetylcholine receptor agonist,oxiracetam
"Bcr-Abl kinase inhibitor, FLT3 inhibitor, PDGFR tyrosine kinase receptor inhibitor",ponatinib
,4-pyrimidinecarbonitrile
metalloproteinase inhibitor,doxycycline
bacterial cell wall synthesis inhibitor,cefdinir
DNA synthesis inhibitor,artesunate
protein synthesis inhibitor,methacycline
antitumor agent,10-deacetylbaccatin
glucocorticoid receptor agonist,fluocinolone-acetonide
histone lysine methyltransferase inhibitor,3-deazaneplanocin-A
adrenergic receptor antagonist,vincamine
aromatase inhibitor,letrozole
thymidylate synthase inhibitor,ftorafur
HSP inhibitor,alvespimycin
DNA inhibitor,metronidazole
bacterial 30S ribosomal subunit inhibitor,bekanamycin
HMGCR inhibitor,fluvastatin
opioid receptor antagonist,chloroxine
"glucocorticoid receptor antagonist, progesterone receptor antagonist",mifepristone
PPAR receptor agonist,fenofibrate
"antioxidant, capillary stabilizing agent, nitric oxide scavenger",rutin
antimalarial agent,halofantrine
antioxidant,chlorogenic-acid
"Bcr-Abl kinase inhibitor, KIT inhibitor, PDGFR tyrosine kinase receptor inhibitor",imatinib
adrenergic receptor agonist,ritodrine
bacterial DNA inhibitor,nimorazole
"nitric oxide donor, potassium channel activator",nicorandil
glucocorticoid receptor agonist,desonide
CC chemokine receptor antagonist,ZK811752
,cetrimonium
bacterial cell wall synthesis inhibitor,aztreonam
adrenergic receptor antagonist,prazosin
"EGFR inhibitor, VEGFR inhibitor",AEE788
Pim kinase inhibitor,GDC-0349
CDK inhibitor,dinaciclib
topoisomerase inhibitor,licochalcone-a
Bcr-Abl kinase inhibitor,metatinib
stearoyl-CoA desaturase inhibitor,MK-8245
potassium channel activator,sodium-tanshinone-ii-a-sulfonate
PI3K inhibitor,taselisib
"JAK inhibitor, syk inhibitor",PRT062070
"FLT3 inhibitor, JAK inhibitor",TG-101348
"FGFR inhibitor, PDGFR tyrosine kinase receptor inhibitor, VEGFR inhibitor",nintedanib
"acetylcholine receptor agonist, benzodiazepine receptor agonist",nefiracetam
c-Met inhibitor,INC-280
calcium channel blocker,pranidipine
CFTR channel antagonist,IOWH032
protein tyrosine kinase inhibitor,4-methylgenistein
dopamine synthesis inhibitor,palmatine-chloride
glucocorticoid receptor agonist,prednisolone-hemisuccinate
MEK inhibitor,nobiletin
DNA methyltransferase inhibitor,RG108
CDK inhibitor,BMS-265246
bacterial 50S ribosomal subunit inhibitor,azalomycin-b
caspase activator,PAC-1
"ATPase inhibitor, TRPV agonist",evodiamine
focal adhesion kinase inhibitor,PF-573228
TRPV antagonist,SB-366791
DNA synthesis inhibitor,azodicarbonamide
,se-methylselenocysteine
TGF beta receptor inhibitor,adaprev
cationic surfactant,benzyldimethylhexadecylammonium
HSP inducer,AEG3482
histone lysine methyltransferase inhibitor,ryuvidine
gamma secretase inhibitor,YO-01027
beta-secretase inhibitor,TC1
beta amyloid protein neurotoxicity inhibitor,salidroside
,chlorindanol
"CDK inhibitor, tyrosine kinase inhibitor",aminopurvalanol-a
other antibiotic,nanchangmycin
histamine receptor antagonist,cyproheptadine
insulin secretagogue,repaglinide
EGFR inhibitor,osimertinib
CDK inhibitor,abemaciclib
JAK inhibitor,baricitinib
adenosine receptor agonist,SDZ-WAG-994
tubulin polymerization inhibitor,plinabulin
PLK inhibitor,BI-2536
protein synthesis inhibitor,bruceantin
,CI-844
orexin receptor antagonist,almorexant
PI3K inhibitor,CUDC-907
MEK inhibitor,PD-0325901
VEGFR inhibitor,tivozanib
PDGFR tyrosine kinase receptor inhibitor,CP-673451
MEK inhibitor,PD-318088
steroid,epiandrosterone
,sclareol
PPAR receptor agonist,S26948
DNA polymerase inhibitor,cephalomannine
carbonic anhydrase inhibitor,tioxolone
bromodomain inhibitor,I-BET151
progesterone receptor agonist,melengestrol-acetate
apoptosis stimulant,dioscin
,spermine
PLK inhibitor,GW-843682X
glucokinase activator,LY2608204
"mediator release inhibitor, SYK inhibitor",ER-27319
LXR agonist,GW-3965
TGF beta receptor inhibitor,LY2109761
metalloproteinase inhibitor,WAY-170523
beta-catenin inhibitor,ICG-001
MET inhibitor,AMG458
protein tyrosine kinase inhibitor,rheochrysidin
,broxaldine
sodium/glucose cotransporter inhibitor,phlorizin
NFkB pathway inhibitor,parthenolide-(-)
,uracil
"dopamine receptor antagonist, serotonin receptor antagonist",lurasidone
glucocorticoid receptor agonist,difluprednate
adrenergic receptor agonist,methyldopa
vitamin D receptor agonist,maxacalcitol
ion channel antagonist,nizofenone
glucocorticoid receptor agonist,halobetasol-propionate
angiotensin receptor antagonist,azilsartan
cyclooxygenase inhibitor,amfenac
T-type calcium channel blocker,penfluridol
bacterial 50S ribosomal subunit inhibitor,valnemulin
sodium/chloride cotransporter inhibitor,clopamide
"angiogenesis inhibitor, tumor necrosis factor production inhibitor",pomalidomide
mineralocorticoid receptor antagonist,canrenone
adrenergic receptor agonist,metaraminol
antioxidant,mesna
benzodiazepine receptor agonist,lorazepam
ribonucleotide reductase inhibitor,gemcitabine
proteasome inhibitor,carfilzomib
"KIT inhibitor, PDGFR tyrosine kinase receptor inhibitor, VEGFR inhibitor",pazopanib
carbonic anhydrase inhibitor,acetazolamide
"FGFR inhibitor, KIT inhibitor, PDGFR tyrosine kinase receptor inhibitor, VEGFR inhibitor",lenvatinib
mineralocorticoid receptor antagonist,drospirenone
PKC inhibitor,dequalinium
adrenergic receptor antagonist,atipamezole
cytochrome P450 inhibitor,eplerenone
vitamin D receptor agonist,alfacalcidol
serotonin receptor agonist,zolmitriptan
calcium channel blocker,tetrandrine
mucolytic agent,fudosteine
dopamine receptor agonist,uridine
"estrogen receptor antagonist, selective estrogen receptor modulator (SERM)",tamoxifen
acetylcholine receptor antagonist,darifenacin
"DNA directed DNA polymerase inhibitor, thymidylate synthase inhibitor",trifluridine
HMGCR inhibitor,mevastatin
bacterial DNA gyrase inhibitor,sparfloxacin
ICAM1 expression inhibitor,polydatin
vitamin B,thiamine
penicillin binding protein inhibitor,amoxicillin
"adrenergic receptor antagonist, prolactin inhibitor",dihydroergocristine
progesterone receptor antagonist,gestrinone
neurotrophic agent,inosine
estrogen receptor agonist,equol
DNA polymerase inhibitor,cidofovir
"Abl kinase inhibitor, Bcr-Abl kinase inhibitor",nilotinib
cyclooxygenase inhibitor,meloxicam
thymidylate synthase inhibitor,doxifluridine
histamine receptor antagonist,ebastine
microtubule inhibitor,triclabendazole
glucocorticoid receptor agonist,flumethasone
bacterial 50S ribosomal subunit inhibitor,dirithromycin
membrane integrity inhibitor,nonoxynol-9
MEK inhibitor,trametinib
thymidine phosphorylase inhibitor,tipiracil
dopamine receptor antagonist,domperidone
DNA directed DNA polymerase inhibitor,idoxuridine
"cyclooxygenase inhibitor, prostanoid receptor antagonist",indoprofen
"microtubule inhibitor, tubulin polymerization inhibitor",podophyllotoxin
"cyclooxygenase inhibitor, histone acetyltransferase inhibitor, lipoxygenase inhibitor, NFkB pathway inhibitor",curcumin
BCL inhibitor,oridonin
"dopamine receptor antagonist, serotonin receptor antagonist",ziprasidone
,cholecalciferol
prostanoid receptor antagonist,benzydamine
glucocorticoid receptor agonist,halcinonide
topoisomerase inhibitor,fleroxacin
dihydroorotate dehydrogenase inhibitor,teriflunomide
EGFR inhibitor,icotinib
PKC activator,ingenol-mebutate
ribonucleotide reductase inhibitor,triapine
chelating agent,deferasirox
"estrogen receptor antagonist, progesterone receptor agonist",danazol
membrane integrity inhibitor,ciclopirox
thrombopoietin receptor agonist,eltrombopag
glucocorticoid receptor agonist,triamcinolone
tubulin polymerization inhibitor,oxibendazole
potassium channel blocker,dofetilide
antiviral,ribavirin
benzodiazepine receptor agonist,temazepam
HSP inhibitor,tanespimycin
DNA synthesis inhibitor,enocitabine
bacterial DNA inhibitor,nithiamide
glutamate receptor antagonist,CPP
pulmonary surfactant,colfosceril-palmitate
glutamate receptor antagonist,CGP-37849
telomerase inhibitor,costunolide
SIRT activator,SRT1720
microtubule stabilizing agent,epothilone-a
"DNA protein kinase inhibitor, PI3K inhibitor",PIK-75
acetylcholine receptor allosteric modulator,VU0238429
glutamate receptor positive allosteric modulator,VU0361737
p38 MAPK inhibitor,skepinone-l
nociceptin/orphanin FQ receptor antagonist,BAN-ORL-24
Bruton's tyrosine kinase (BTK) inhibitor,CNX-774
,maytansinol-isobutyrate
cholinesterase inhibitor,"hydroxytacrine-maleate-(r,s)"
"casein kinase inhibitor, mTOR inhibitor, PI3K inhibitor",LY303511
,dihydromyricetin
histone lysine demethylase inhibitor,JIB04
GABA receptor modulator,GS-39783
exportin antagonist,KPT-276
G protein-coupled receptor agonist,G-1
glutamate receptor antagonist,LY456236
cannabinoid receptor agonist,GW-405833
adenosine receptor antagonist,CGS-15943
EGFR inhibitor,WZ-4002
caspase activator,PETCM
lipoxygenase inhibitor,baicalein
CDC inhibitor,NSC-663284
PI3K inhibitor,YM-201636
cyclooxygenase inhibitor,acetylsalicylsalicylic-acid
ephrin inhibitor,NVP-BHG712
RAF inhibitor,AZ-628
glycogen synthase kinase inhibitor,CHIR-98014
,mexeneone
glutamate receptor antagonist,IEM1754
retinoid receptor agonist,LE-135
macrophage migration inhibiting factor inhibitor,4-iodo-6-phenylpyrimidine
IGF-1 inhibitor,NVP-AEW541
TRPV antagonist,RN-1734
phosphodiesterase inhibitor,trequinsin
Bcl-XL downregulator,"2,3-DCPE"
Aurora kinase inhibitor,CCT129202
PKA activator,8-bromo-cGMP
calcium channel blocker,fendiline
"FAAH inhibitor, FAAH reuptake inhibitor",LY2183240
JNK inhibitor,SU3327
NFkB pathway inhibitor,BAY-11-7085
PKC inhibitor,bisindolylmaleimide-ix
"src inhibitor, VEGFR inhibitor",TG-100572
,tetrahydropapaverine
,Ro-90-7501
CDK inhibitor,CR8-(R)
adenosine kinase inhibitor,ABT-702
serotonin receptor antagonist,pirenperone
EGFR inhibitor,BIBU-1361
DNA methyltransferase inhibitor,SGI-1027
glycogen synthase kinase inhibitor,1-azakenpaullone
ATPase inhibitor,digitoxigenin
Aurora kinase inhibitor,ZM-447439
telomerase inhibitor,BIBR-1532
eukaryotic translation elongation factor 2 inhibitor,NH125
RAF inhibitor,PLX-4720
MEK inhibitor,arctigenin
mTOR inhibitor,ku-0063794
mTOR inhibitor,WYE-354
EGFR inhibitor,PD-168393
GABA receptor modulator,SB-205384
rho associated kinase inhibitor,RKI-1447
,TMS
"CDK inhibitor, FLT3 inhibitor, JAK inhibitor",TG-02
HDAC inhibitor,scriptaid
ATR kinase inhibitor,VE-821
MEK inhibitor,U-0126
"Abl kinase inhibitor, src inhibitor, VEGFR inhibitor",ZM-306416
serum/glucocorticoid regulated kinase inhibitor,GSK650394
steroid,digoxigenin
dopamine receptor agonist,Ro-10-5824
EGFR inhibitor,FERb-033
bromodomain inhibitor,PFI-1
growth factor receptor inhibitor,GW-441756
p38 MAPK inhibitor,CMPD-1
cannabinoid receptor antagonist,AM-251
Ras GTPase inhibitor,NSC-23766
rho associated kinase inhibitor,GSK429286A
phosphodiesterase inhibitor,EMD-53998
topoisomerase inhibitor,amonafide
benzodiazepine receptor agonist,ZK-93423
dopamine uptake inhibitor,vanoxerine
tubulin polymerization inhibitor,combretastatin-A-4
PLK inhibitor,GSK461364
lysophosphatidic acid receptor antagonist,BMS-986020
topoisomerase inhibitor,camptothecin
CHK inhibitor,LY2603618
immunosuppressant,frentizole
ubiquitin C-terminal hydrolase inhibitor,VLX600
MDM inhibitor,CGM097
histamine receptor antagonist,BF2.649
histamine receptor antagonist,tiotidine
CC chemokine receptor antagonist,MK-0812
"FGFR inhibitor, VEGFR inhibitor",MK-2461
histamine receptor antagonist,ICI-162846
proteasome inhibitor,ixazomib
CCK receptor antagonist,SR-27897
MEK inhibitor,selumetinib
DNA synthesis inhibitor,CB-10-277
Aurora kinase inhibitor,alisertib
CDK inhibitor,PHA-793887
"mTOR inhibitor, PI3K inhibitor",voxtalisib
tyrosine kinase inhibitor,AMG-208
opioid receptor agonist,salvinorin-a
adenosine receptor antagonist,sulmazole
cholesteryl ester transfer protein inhibitor,torcetrapib
histamine receptor antagonist,tecastemizole
tubulin polymerization inhibitor,vincristine
Procollagen C-Endopeptidase Inhibitors,UK-383367
angiotensin converting enzyme inhibitor,temocapril
MET inhibitor,LY2801653
other antibiotic,crystal-violet
RNA polymerase inhibitor,balapiravir
interleukin synthesis inhibitor,STA-5326
"nuclear factor erythroid derived, like (NRF2) activator",oltipraz
cytidine deaminase inhibitor,tetrahydrouridine
,S-methylcysteine
JAK inhibitor,AZD1480
PI3K inhibitor,TG100-115
DNA inhibitor,pibenzimol
mTOR inhibitor,OSI-027
sodium channel blocker,lappaconite
"mTOR inhibitor, PI3K inhibitor",PF-05212384
EGFR inhibitor,AZD8931
"mTOR inhibitor, PI3K inhibitor",SB-2343
HSP inhibitor,KW-2478
Aurora kinase inhibitor,TAK-901
PI3K inhibitor,AZD6482
dopamine receptor antagonist,oxiperomide
toll-like receptor antagonist,resatorvid
tumor necrosis factor release inhibitor,CPI-1189
glycogen synthase kinase inhibitor,LY2090314
carnitine palmitoyltransferase inhibitor,etomoxir
EGFR inhibitor,dacomitinib
BCL inhibitor,ABT-737
tubulin polymerization inhibitor,dolastatin-10
"IKK inhibitor, NFkB pathway inhibitor",IKK-2-inhibitor-V
estrogen receptor agonist,erteberel
MEK inhibitor,AZD8330
microtubule inhibitor,cytochalasin-b
EGFR inhibitor,pelitinib
"PDGFR tyrosine kinase receptor inhibitor, VEGFR inhibitor",SU014813
"Aurora kinase inhibitor, Bcr-Abl kinase inhibitor, FLT3 inhibitor, JAK inhibitor",tozasertib
tubulin polymerization inhibitor,flubendazole
protein synthesis inhibitor,clindamycin-phosphate
cholinesterase reactivator,obidoxime
"L-type calcium channel blocker, T-type calcium channel blocker",efonidipine-monoethanolate
"KIT inhibitor, VEGFR inhibitor",cediranib
PI3K inhibitor,pilaralisib
benzodiazepine receptor agonist,indiplon
benzodiazepine receptor agonist,CL-218872
acetylcholine receptor antagonist,hyoscyamine
toll-like receptor agonist,resiquimod
monoamine oxidase inhibitor,piperine
FAAH inhibitor,PF-04457845
phosphorylase inhibitor,tagatose
,acesulfame-potassium
maternal embryonic leucine zipper kinase inhibitor,OTS167
RAF inhibitor,SB-590885
ALK tyrosine kinase receptor inhibitor,SB-505124
HCV inhibitor,Ro-9187
potassium channel blocker,ML133
NFkB pathway inhibitor,Ro-106-9920
HSP inhibitor,VER-49009
monoacylglucerol lipase inhibitor,JZL-184
serotonin receptor antagonist,SB-216641
SIRT inhibitor,tenovin-6
bone morphogenic protein inhibitor,LDN-212854
ubiquitin specific protease inhibitor,P5091
Aurora kinase inhibitor,CCT137690
CC chemokine receptor antagonist,RS-504393
VEGFR inhibitor,MGCD-265
ATPase inhibitor,blebbistatin-(-)
TGF beta receptor inhibitor,repsox
CDC inhibitor,PHA-767491
protein tyrosine kinase inhibitor,PP-121
NFkB pathway inhibitor,EVP4593
urokinase inhibitor,4-chlorophenylguanidine
farnesyltransferase inhibitor,LB42708
DNA synthesis inhibitor,anisomycin
PI3K inhibitor,TG-100713
ATR kinase inhibitor,ETP-46464
glutamate receptor positive allosteric modulator,VU0364770
"mTOR inhibitor, PI3K inhibitor",PI-103
tubulin polymerization inhibitor,nocodazole
"FLT3 inhibitor, tyrosine kinase inhibitor",GTP-14564
mTOR inhibitor,torin-1
FLT3 inhibitor,tyrphostin-AG-1296
PARP inhibitor,PJ-34
"protein tyrosine kinase inhibitor, tyrosine kinase inhibitor",tyrphostin-A9
IKK inhibitor,IKK-16
MEK inhibitor,MEK1-2-inhibitor
dopamine receptor ligand,8-hydroxy-PIPAT
HDAC inhibitor,M-344
adrenergic receptor antagonist,RS-17053
deubiquitinase inhibitor,WP1130
retinoid receptor agonist,CD-437
TGF beta receptor inhibitor,SB-431542
BMI-1 inhibitor,PTC-209
"TGF beta receptor inhibitor, p38 MAPK inhibitor",LY364947
hedgehog pathway inhibitor,JK-184
estrogen receptor agonist,PPT
EGFR inhibitor,CGP-52411
IGF-1 inhibitor,PQ-401
ALK tyrosine kinase receptor inhibitor,GW-788388
mTOR inhibitor,torin-2
src inhibitor,PP-1
prostanoid receptor antagonist,"L-798,106"
ATR kinase inhibitor,AZ20
mTOR inhibitor,WYE-125132
BAX activator,BAM7
mineralocorticoid receptor agonist,desoxycortone
"DNA synthesis inhibitor, RNA synthesis inhibitor",cyclocytidine
NAMPT inhibitor,STF-118804
"GABA receptor antagonist, TP53 activator",securinine
ATPase inhibitor,NMS-873
P glycoprotein inhibitor,SC-144
Wnt pathway inhibitor,KY02111
opioid receptor antagonist,BNTX
JAK inhibitor,WHI-P154
,Ro-04-5595
adenosine receptor antagonist,PSB-1115
glycogen synthase kinase inhibitor,CHIR-99021
,RI-1
Pim kinase inhibitor,SMI-4a
focal adhesion kinase inhibitor,VS-4718
IKK inhibitor,BMS-345541
cytochrome P450 inhibitor,PF-4981517
NFkB pathway inhibitor,BAY-11-7082
SHIP2 phosphatase inhibitor,AS-1949490
DNA intercalating agent,ethacridine-lactate-monohydrate
dopamine receptor ligand,3'-fluorobenzylspiperone
topoisomerase inhibitor,10-hydroxycamptothecin
protein tyrosine kinase inhibitor,NVP-TAE226
proteasome inhibitor,MG-132
serotonin receptor antagonist,RS-16566
phosphodiesterase inhibitor,cilostamide
G protein signaling inhibitor,CCG-50014
cytochrome P450 inhibitor,morin
RAF inhibitor,GDC-0879
tachykinin antagonist,SB-218795
src inhibitor,PP-2
src inhibitor,1-naphthyl-PP1
glutamate receptor agonist,homoquinolinic-acid
adrenergic receptor antagonist,atenolol-(-)
glutamate receptor antagonist,kynurenic-acid
"src inhibitor, syk inhibitor","MNS-(3,4-Methylenedioxy-nitrostyrene)"
VEGFR inhibitor,SAR131675
BCL inhibitor,HA14-1
urotensin receptor antagonist,SB-657510
mitotic kinase inhibitor,MPI-0479605
steroidogenic factor antagonist,SID-7969543
HDAC inhibitor,NSC-3852
ALK tyrosine kinase receptor inhibitor,NVP-TAE684
glutamate receptor antagonist,JNJ-16259685
kinesin-like spindle protein inhibitor,K-858
HDAC inhibitor,trichostatin-a
histamine receptor agonist,4-methylhistamine
"IGF-1 inhibitor, insulin growth factor receptor inhibitor, insulin receptor ligand",GSK1904529A
c-Met inhibitor,PHA-665752
,ZLN005
adenosine receptor agonist,2'-MeCCPA
,domiphen
adenosine receptor antagonist,SCH-58261
insulin growth factor receptor inhibitor,GSK1838705A
interleukin inhibitor,Y-320
CHK inhibitor,CHIR-124
,tetramethylthiuram-monosulfide
HDAC inhibitor,nexturastat-a
AKT inhibitor,A-674563
benzodiazepine receptor agonist,gamma-aminobutyric-acid
aryl hydrocarbon receptor antagonist,stemregenin-1
adrenergic receptor agonist,A61603
"FGFR inhibitor, VEGFR inhibitor",PD-173074
EGFR inhibitor,WZ-3146
CDK inhibitor,JNJ-7706621
EGFR inhibitor,rociletinib
nitric oxide synthase inhibitor,diphenyleneiodonium
CDK inhibitor,arcyriaflavin-a
MET inhibitor,NVP-BVU972
IKK inhibitor,TPCA-1
EGFR inhibitor,GW-583340
PARP inhibitor,endo-IWR-1
bromodomain inhibitor,JQ1-(+)
ribosomal protein inhibitor,BI-D1870
ALK tyrosine kinase receptor inhibitor,DMH1
ubiquitin specific protease inhibitor,P22077
GABA receptor antagonist,ginkgolide-a
serotonin receptor antagonist,4-(4-fluorobenzoyl)-1-(4-phenylbutyl)-piperidine
JAK inhibitor,TG-101209
apoptosis stimulant,oncrasin-1
K-ras inhibitor,K-Ras(G12C)-inhibitor-6
acetylcholine receptor allosteric modulator,CCMI
PAR agonist,AC-264613
EGFR inhibitor,tyrphostin-AG-494
EGFR inhibitor,tyrphostin-AG-1478
tyrosine kinase inhibitor,tyrphostin-AG-99
Hec1 inhibitor,INH1
histone lysine methyltransferase inhibitor,BIX-01294
phosphatidylglycerophosphatase inhibitor,alexidine
AKT inhibitor,CCT128930
CHK inhibitor,SB-218078
MAP kinase phosphatase inhibitor,CID-5458317
"MAP kinase inhibitor, MEK inhibitor",PD-198306
,ribitol
ubiquitin specific protease inhibitor,NSC-632839
mTOR inhibitor,WAY-600
GGTase inhibitor,GGTI-298
glutamate receptor antagonist,MTPG
lysophosphatidic acid receptor antagonist,KI-16425
glycogen synthase kinase inhibitor,TWS-119
tyrosine phosphatase inhibitor,BVT-948
pyruvate dehydrogenase kinase inhibitor,BX-912
"ATP synthase inhibitor, ATPase inhibitor",oligomycin-a
sphingosine kinase inhibitor,SKI-II
cyclooxygenase inhibitor,tryptanthrin
EGFR inhibitor,WZ8040
p38 MAPK inhibitor,SB-239063
bromodomain inhibitor,OTX015
TRPV agonist,OLDA
retinoid receptor agonist,AM-580
serotonin receptor agonist,1-phenylbiguanide
NFkB pathway inhibitor,parthenolide
serotonin receptor partial agonist,RS-67506
JAK inhibitor,filgotinib
protein synthesis inhibitor,4E1RCat
RNA synthesis inhibitor,aphidicolin
HDAC inhibitor,R306465
"CDK inhibitor, CHK inhibitor, PKC inhibitor",7-hydroxystaurosporine
MEK inhibitor,cobimetinib
DNA alkylating agent,TH-302
IGF-1 inhibitor,linsitinib
"FLT3 inhibitor, growth factor receptor inhibitor, JAK inhibitor",lestaurtinib
,N-acetylmannosamine
HSP inhibitor,SNX-5422
acetylcholine receptor antagonist,5-hydroxymethyl-tolterodine
PI3K inhibitor,CH5132799
,dichlorisone-acetate
,AP1903
HIV protease inhibitor,tipranavir
topoisomerase inhibitor,irinotecan
"apoptosis stimulant, NFkB pathway inhibitor",betulinic-acid
bacterial antifolate,sulfabenzamide
CC chemokine receptor antagonist,SB-225002
ion channel antagonist,erastin
hepatocyte function enhancer,FPH1-(BRD-6125)
rho associated kinase inhibitor,Y-27632
androgen receptor modulator,MK-0773
glutamate receptor modulator,mibampator
"cell cycle inhibitor, PLK inhibitor",rigosertib
"EGFR inhibitor, FGFR inhibitor, FLT3 inhibitor, PDGFR tyrosine kinase receptor inhibitor, VEGFR inhibitor",dovitinib
topical anesthetic,proflavine-hemisulfate
tubulin polymerization inhibitor,taltobulin
calcium channel blocker,SR-33805
"mTOR inhibitor, PI3K inhibitor",GSK2126458
,TU-2100
serotonin receptor agonist,ipsapirone
proteasome inhibitor,oprozomib
dopamine receptor agonist,CS-110266
MEK inhibitor,PD-184352
HSP inhibitor,PU-H71
PARP inhibitor,AZD2461
RSV fusion inhibitor,TMC-353121
BCL inhibitor,venetoclax
phospholipase inhibitor,darapladib
protein tyrosine kinase inhibitor,AV-412
"KIT inhibitor, PDGFR tyrosine kinase receptor inhibitor, VEGFR inhibitor",telatinib
"mTOR inhibitor, PI3K inhibitor",PKI-179
mannosidase inhibitor,kifunensine
EGFR inhibitor,PD-153035
PARP inhibitor,E7449
DNA intercalating agent,echinomycin
adrenergic receptor antagonist,idazoxan
,gastrodin
CDK inhibitor,ribociclib
sodium/hydrogen exchanger inhibitor,cariporide
EGFR inhibitor,TAK-285
DNA alkylating agent,satraplatin
bacterial DNA gyrase inhibitor,finafloxacin
progesterone receptor agonist,dienogest
,cetylpyridinium
dihydrofolate reductase inhibitor,diaveridine
oxidosqualene cyclase inhibitor,U-18666A
apoptosis stimulant,tasisulam
kinesin inhibitor,ispinesib
,uric-acid
cyclooxygenase inhibitor,FK-3311
HSP inhibitor,NVP-AUY922
"RAF inhibitor, VEGFR inhibitor",RAF265
Aurora kinase inhibitor,AMG900
,DVD-111
leukotriene receptor antagonist,cinalukast
phosphodiesterase inhibitor,zardaverine
MDM inhibitor,idasanutlin
"FGFR inhibitor, VEGFR inhibitor",lucitanib
HDAC inhibitor,dacinostat
NFkB pathway inhibitor,bindarit
tyrosine kinase inhibitor,tivantinib
PI3K inhibitor,BGT226
phosphoinositide dependent kinase inhibitor,AR-12
FGFR antagonist,LY2874455
XIAP inhibitor,LCL-161
structural glycoprotein antagonist,DU-728
HDAC inhibitor,givinostat
RAF inhibitor,CEP-32496
DNA damage inducer,ambazone
inosine monophosphate dehydrogenase inhibitor,merimepodib
androgen receptor modulator,galeterone
,xilobam
CC chemokine receptor antagonist,navarixin
topoisomerase inhibitor,TAS-103
bromodomain inhibitor,I-BET-762
,orotic-acid
MEK inhibitor,AS-703026
PI3K inhibitor,buparlisib
proteasome inhibitor,ixazomib-citrate
MEK inhibitor,MEK162
centromere associated protein inhibitor,GSK923295
Aurora kinase inhibitor,GSK1070916
HDAC inhibitor,pyroxamide
vitamin D receptor agonist,ercalcitriol
benzodiazepine receptor ligand,XBD173
atherosclerosis formation inhibitor,hyodeoxycholic-acid
PKC inhibitor,PD-407824
potassium channel activator,DCEBIO
EGFR inhibitor,CNX-2006
JNK inhibitor,BI-78D3
acetylcholine receptor agonist,tremorine
,stattic
Aurora kinase inhibitor,MK-8745
PERK inhibitor,GSK2656157
JAK inhibitor,CEP-33779
DUB inhibitor,PR-619
mTOR inhibitor,XL388
glucocorticoid receptor agonist,flumethasone-pivalate
RAF inhibitor,TAK-632
,fenaclon
Aurora kinase inhibitor,PHA-680632
mTOR inhibitor,deforolimus
PI3K inhibitor,ZSTK-474
p38 MAPK inhibitor,talmapimod
topoisomerase inhibitor,nemorubicin
cannabinoid receptor antagonist,"CP-945,598"
serotonin receptor agonist,SR-57227A
HDAC inhibitor,AR-42
opioid receptor agonist,cebranopadol
"CDK inhibitor, glycogen synthase kinase inhibitor",indirubin
opioid receptor antagonist,JTC-801
glycogen synthase kinase inhibitor,tideglusib
,cytochlor
EGFR inhibitor,neratinib
HDAC inhibitor,PCI-24781
phosphodiesterase inhibitor,YM-976
"tubulin polymerization inhibitor, VE-cadherin antagonist",fosbretabulin
acetylcholine receptor agonist,xanomeline
src inhibitor,saracatinib
exportin antagonist,selinexor
tubulin polymerization inhibitor,CYT-997
"Abl kinase inhibitor, Aurora kinase inhibitor, FLT3 inhibitor",KW-2449
protein synthesis inhibitor,brefeldin-a
"CDK inhibitor, glycogen synthase kinase inhibitor",kenpaullone
anthelmintic agent,methiazole
"glycogen synthase kinase inhibitor, lipoxygenase inhibitor",GSK-3-inhibitor-IX
"glutamate inhibitor, macrophage migration inhibiting factor inhibitor",chicago-sky-blue-6b
serotonin receptor antagonist,SB-200646
HIV integrase inhibitor,caffeic-acid-phenethyl-ester
P selectin inhibitor,KF-38789
histone lysine demethylase inhibitor,GSK-J4
exportin antagonist,KPT-185
EGFR inhibitor,OSI-420
serotonin receptor agonist,NAN-190
,beta-naphthol
glycogen synthase kinase inhibitor,AZD2858
CDK inhibitor,NU6027
Aurora kinase inhibitor,aurora-a-inhibitor-i
ubiquitin-conjugating enzyme inhibitor,NSC-697923
ARF inhibitor,golgicide-a
glutamate receptor modulator,spermidine
DNA alkylating agent,dianhydrogalactitol
"DNA alkylating agent, DNA inhibitor",carmustine
"DNA alkylating agent, DNA synthesis inhibitor",cisplatin
acetylcholinesterase inhibitor,dichlorvos
membrane integrity inhibitor,sevoflurane
NFkB pathway modulator,ornithine
,ammonium-lactate
ATP synthase inhibitor,pyrithione-zinc
DNA inhibitor,oxaliplatin
DNA polymerase inhibitor,foscarnet
local anesthetic,fluroxene
other antifungal,phenylmercuric-acetate
,captamine
MEK inhibitor,BIX-02188
bacterial DNA gyrase inhibitor,novobiocin
cholesterol inhibitor,acipimox
membrane permeability inhibitor,methoxyflurane
,D-7193
"DNA alkylating agent, DNA inhibitor",carboplatin
histamine receptor antagonist,pheniramine
sodium channel blocker,mexiletine
MAP kinase activator,usniacin-(+)
,erythritol
anticonvulsant,linalool
